27472,Position/degré,L 42 °
27472,Pince,NO
27472,Bride Ø [mm],76,2 mm
27472,Poids [kg],3,734 kg
27475,Voltage [V],12 V
27475,Puissance nominale [kW],2,2 kW
27475,Nombre de dents,10
27475,Nombre de trous,2
27475,Nombre de taraudages,2
27475,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
27475,Position/degré,L 71 °
27475,Pince,NO
27475,Poids [kg],4,21 kg
27481,Voltage [V],12 V
27481,Puissance nominale [kW],1,2 kW
27481,Poids [kg],3,074 kg
27576,Voltage [V],12 V
27576,Puissance nominale [kW],1,2 kW
27576,Nombre de dents,10
27576,Nombre de trous,3
27576,Nombre de taraudages,3
27576,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
27576,Position/degré,R 34 °
27576,Bride Ø [mm],76,2 mm
27576,Poids [kg],3,03 kg
27578,Voltage [V],12 V
27578,Puissance nominale [kW],1 kW
27578,Nombre de dents,9
27578,Nombre de trous,2
27578,Nombre de taraudages,2
27578,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
27578,Position/degré,L °
27578,Poids [kg],2,946 kg
27579,Voltage [V],12 V
27579,Puissance nominale [kW],1,1 kW
27579,Nombre de dents,10
27579,Nombre de trous,3
27579,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
27579,Position/degré,L 44 °
27579,Bride Ø [mm],76,2 mm
27579,Poids [kg],3,36 kg
27900,Voltage [V],12 V
27900,Puissance nominale [kW],1,2 kW
27900,Nombre de dents,9
27900,Nombre de trous,2
27900,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
27900,Position/degré,R 45 °
27900,Pince,NO
27900,Poids [kg],3,1 kg
28013,Voltage [V],12 V
28013,Puissance nominale [kW],0,9 kW
28013,Nombre de dents,8
28013,Nombre de trous,2
28013,Nombre de taraudages,2
28013,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
28013,Position/degré,R 54 °
28013,Pince,NO
28013,Bride Ø [mm],77 mm
28013,Poids [kg],3,774 kg
28024,Voltage [V],12 V
28024,Puissance nominale [kW],1,7 kW
28024,Nombre de dents,8
28024,Nombre de trous,2
28024,Nombre de taraudages,2
28024,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
28024,Position/degré,R 29,3 °
28024,Bride Ø [mm],77 mm
28024,Poids [kg],3,08 kg
28721,Voltage [V],24 V
28721,Puissance nominale [kW],8,8 kW
28721,Nombre de dents,12
28721,Nombre de trous,3
28721,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
28721,Poids [kg],27 kg
28768,Voltage [V],12 V
28768,Puissance nominale [kW],1,7 kW
28768,Nombre de dents,10
28768,Nombre de trous,2
28768,Nombre de taraudages,2
28768,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
28768,Poids [kg],4,07 kg
32951,Longueur 1 [mm],76 mm
32951,Longueur 2 [mm],53 mm
32951,Puissance nominale [kW],1,8 kW
32951,Voltage [V],12 V
32951,Nombre de trous de fixation,3
32951,Nombre de taraudages,0
32951,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
32951,Nombre de dents,10
32952,Longueur 1 [mm],76 mm
32952,Longueur 2 [mm],32,5 mm
32952,Puissance nominale [kW],1,8 kW
32952,Voltage [V],12 V
32952,Nombre de trous de fixation,3
32952,Nombre de taraudages,0
32952,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
32952,Nombre de dents,9
32954,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32954,Nombre de taraudages,0
32954,Voltage [V],24 V
32954,Nombre de trous de fixation,3
32954,Puissance nominale [kW],6,6 kW
32954,Longueur 2 [mm],21 mm
32954,Longueur 1 [mm],115 mm
32954,Nombre de dents,11
32955,Longueur 1 [mm],110 mm
32955,Longueur 2 [mm],26 mm
32955,Puissance nominale [kW],2,2 kW
32955,Voltage [V],12 V
32955,Nombre de trous de fixation,3
32955,Nombre de taraudages,1
32955,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32955,Nombre de dents,9
32962,Longueur 1 [mm],76 mm
32962,Longueur 2 [mm],32 mm
32962,Puissance nominale [kW],1,1 kW
32962,Voltage [V],12 V
32962,Nombre de trous de fixation,3
32962,Nombre de taraudages,0
32962,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
32962,Nombre de dents,9
32963,Longueur 1 [mm],82,5 mm
32963,Longueur 2 [mm],19 mm
32963,Puissance nominale [kW],2 kW
32963,Voltage [V],12 V
32963,Nombre de trous de fixation,2
32963,Nombre de taraudages,1
32963,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32963,Nombre de dents,10
32964,Longueur 1 [mm],89 mm
32964,Longueur 2 [mm],48,5 mm
32964,Puissance nominale [kW],4 kW
32964,Voltage [V],24 V
32964,Nombre de trous de fixation,3
32964,Nombre de taraudages,0
32964,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32964,Nombre de dents,9
32966,Longueur 1 [mm],82,5 mm
32966,Longueur 2 [mm],21 mm
32966,Puissance nominale [kW],2,2 kW
32966,Voltage [V],12 V
32966,Nombre de trous de fixation,2
32966,Nombre de taraudages,2
32966,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32966,Nombre de dents,9
32967,Longueur 1 [mm],82,5 mm
32967,Longueur 2 [mm],16 mm
32967,Puissance nominale [kW],0,95 kW
32967,Voltage [V],12 V
32967,Nombre de trous de fixation,3
32967,Nombre de taraudages,3
32967,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32967,Nombre de dents,9
32968,Longueur 1 [mm],82 mm
32968,Longueur 2 [mm],23 mm
32968,Puissance nominale [kW],2,2 kW
32968,Voltage [V],12 V
32968,Nombre de trous de fixation,3
32968,Nombre de taraudages,3
32968,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32968,Nombre de dents,9
32969,Longueur 1 [mm],92 mm
32969,Longueur 2 [mm],36 mm
32969,Puissance nominale [kW],6,6 kW
32969,Voltage [V],24 V
32969,Nombre de trous de fixation,3
32969,Nombre de taraudages,0
32969,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32969,Nombre de dents,11
32970,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32970,Voltage [V],12 V
32970,Puissance nominale [kW],2,2 kW
32970,Nombre de taraudages,0
32970,Longueur 2 [mm],23 mm
32970,Nombre de trous de fixation,2
32970,Longueur 1 [mm],82,5 mm
32970,Nombre de dents,11
32971,Longueur 2 [mm],48 mm
32971,Nombre de taraudages,0
32971,Puissance nominale [kW],3 kW
32971,Nombre de trous de fixation,3
32971,Longueur 1 [mm],89 mm
32971,Voltage [V],12 V
32971,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32971,Nombre de dents,9
32973,Longueur 2 [mm],28 mm
32973,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32973,Nombre de taraudages,0
32973,Nombre de trous de fixation,3
32973,Voltage [V],24 V
32973,Puissance nominale [kW],4 kW
32973,Longueur 1 [mm],89 mm
32973,Nombre de dents,11
32975,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32975,Nombre de taraudages,0
32975,Nombre de trous de fixation,3
32975,Voltage [V],24 V
32975,Puissance nominale [kW],4 kW
32975,Longueur 2 [mm],27,5 mm
32975,Longueur 1 [mm],110 mm
32975,Nombre de dents,9
32979,Longueur 1 [mm],81,5 mm
32979,Longueur 2 [mm],23 mm
32979,Puissance nominale [kW],2,3 kW
32979,Voltage [V],12 V
32979,Nombre de trous de fixation,3
32979,Nombre de taraudages,3
32979,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32979,Nombre de dents,9
32981,Longueur 1 [mm],76 mm
32981,Longueur 2 [mm],27 mm
32981,Puissance nominale [kW],1,1 kW
32981,Voltage [V],12 V
32981,Nombre de trous de fixation,3
32981,Nombre de taraudages,3
32981,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32981,Nombre de dents,10
32987,Longueur 1 [mm],82,5 mm
32987,Longueur 2 [mm],35 mm
32987,Puissance nominale [kW],3 kW
32987,Voltage [V],12 V
32987,Nombre de trous de fixation,2
32987,Nombre de taraudages,0
32987,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32987,Nombre de dents,10
32991,Longueur 1 [mm],76 mm
32991,Longueur 2 [mm],52 mm
32991,Puissance nominale [kW],1,7 kW
32991,Voltage [V],12 V
32991,Nombre de trous de fixation,2
32991,Nombre de taraudages,0
32991,Sens de rotation,Rotation dans le sens inverse des aiguilles d'une montre
32991,Nombre de dents,10
32992,Longueur 1 [mm],92 mm
32992,Longueur 2 [mm],48 mm
32992,Puissance nominale [kW],5,5 kW
32992,Voltage [V],24 V
32992,Nombre de trous de fixation,3
32992,Nombre de taraudages,0
32992,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32992,Nombre de dents,12
32994,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32994,Nombre de taraudages,0
32994,Nombre de trous de fixation,2
32994,Voltage [V],12 V
32994,Puissance nominale [kW],2 kW
32994,Longueur 2 [mm],16 mm
32994,Longueur 1 [mm],82 mm
32994,Nombre de dents,9
32996,Nombre de taraudages,0
32996,Nombre de trous de fixation,3
32996,Voltage [V],24 V
32996,Puissance nominale [kW],9 kW
32996,Longueur 2 [mm],48 mm
32996,Longueur 1 [mm],89 mm
32996,Sens de rotation,Rotation dans le sens des aiguilles d'une montre
32996,Nombre de dents,11
32998,Longueur 1 [mm],92 mm
32998,Longueur 2 [mm],51 mm
32998,Puissance nominale [kW],9 kW
32998,Voltage [V],24 V
